#t dx dy dz
0.382 -3.2445 -2.0948 2.4703
0.383 -3.0824 -2.0518 2.3064
0.384 -3.1980 -1.8774 2.2481
0.385 -3.4750 -2.2269 2.3263
0.386 -3.5881 -1.7980 2.1475
0.387 -3.5553 -1.8487 2.4232
0.388 -3.7947 -2.0409 2.0971
0.389 -3.6033 -1.8749 2.1683
0.39 -3.6057 -1.9196 2.3538
0.391 -3.7540 -1.7811 2.4595
0.392 -3.7798 -1.6926 2.4794
0.393 -3.6470 -1.7155 2.6064
0.394 -3.2680 -1.7751 2.8198
0.395 -3.1040 -1.4162 2.8521
0.396 -3.1558 -1.5229 3.0928
0.397 -3.2846 -1.6163 2.9562
0.398 -3.4327 -1.9399 3.0630
0.399 -3.3721 -2.0097 3.1630
0.4 -3.4542 -1.9792 3.2825
0.401 -3.6550 -2.1689 3.3197
0.402 -3.5018 -2.3374 3.4133
0.403 -3.6637 -2.2511 3.6344
0.404 -3.6205 -2.3198 3.3768
0.405 -3.5034 -2.4280 3.1369
0.406 -3.2941 -2.1926 3.1740
0.407 -3.2018 -2.1242 3.0660
0.408 -3.4769 -1.9661 3.1304
0.409 -3.3576 -2.2655 3.0517
0.41 -3.4200 -2.1592 3.1068
0.411 -3.2362 -2.2362 3.3826
0.412 -3.2475 -2.4905 3.6105
0.413 -3.4576 -2.4268 3.4807
0.414 -3.4909 -2.4135 3.2430
0.415 -3.5543 -2.5922 3.3090
0.416 -3.2571 -2.5321 3.2237
0.417 -2.9723 -2.3034 3.4099
0.418 -3.0926 -2.2670 3.4162
0.419 -2.9889 -2.1915 3.5320
0.42 -3.2553 -2.4870 3.4760
0.421 -3.3522 -2.6283 3.2071
0.422 -3.2624 -2.6577 3.3675
0.423 -3.2023 -2.5418 3.1578
0.424 -3.2729 -2.9850 3.1766
0.425 -3.2425 -2.7674 3.3571
0.426 -3.3858 -2.7449 3.3792
0.427 -3.3788 -2.8257 3.0521
0.428 -3.2889 -3.2939 3.2370
0.429 -3.5662 -3.3788 3.3579
0.43 -3.6965 -3.5080 3.4226
0.431 -3.6365 -3.3213 3.7127
0.432 -3.6100 -3.2500 3.7656
0.433 -3.9276 -3.2356 3.4638
0.434 -4.0701 -3.0696 3.2293
0.435 -3.8485 -3.0416 3.2376
0.436 -3.7274 -3.2315 3.1647
0.437 -3.6593 -3.0149 3.0406
0.438 -3.5944 -2.9228 2.7997
0.439 -3.8095 -2.9096 2.7182
0.44 -3.8469 -3.1467 2.5482
0.441 -3.9987 -3.2543 2.5460
0.442 -4.1251 -3.2792 2.4680
0.443 -4.0733 -3.2104 2.3501
0.444 -3.8974 -3.0365 2.5258
0.445 -3.9712 -3.0415 2.2812
0.446 -3.9123 -2.9202 2.2021
